"country","Coastline"
"India",7000
"China",14500
"United States",19924
"Indonesia",54716
"Pakistan",1046
"Nigeria",853
"Brazil",7491
"Bangladesh",580
"Russia",37653
"Mexico",9330
"Japan",29751
"Egypt",2450
"Philippines",36289
"Vietnam",3444
"Iran",2440
"Turkey",7200
"Germany",2389
"Thailand",3219
"United Kingdom",12429
"Tanzania",1424
"France",4853
"South Africa",2798
"Italy",7600
"Kenya",536
"Myanmar",1930
"Colombia",3208
"South Korea",2413
"Sudan",853
"Spain",4964
"Algeria",998
"Iraq",58
"Argentina",4989
"Yemen",1906
"Canada",202080
"Poland",440
"Morocco",2945
"Angola",1600
"Ukraine",2782
"Malaysia",4675
"Mozambique",2470
"Ghana",539
"Peru",2414
"Saudi Arabia",2640
"Madagascar",4828
"Ivory Coast",515
"Cameroon",402
"Venezuela",2800
"Australia",25760
"North Korea",2495
"Syria",193
"Taiwan",1566
"Sri Lanka",1340
"Chile",6435
"Romania",225
"Somalia",3333
"Senegal",531
"Guatemala",400
"Netherlands",451
"Ecuador",2237
"Cambodia",443
"Guinea",320
"Benin",121
"Tunisia",1148
"Haiti",1771
"Belgium",67
"Jordan",26
"Dominican Republic",1288
"United Arab Emirates",1318
"Cuba",3735
"Honduras",832
"Sweden",3218
"Papua New Guinea",5152
"Portugal",1793
"Greece",13676
"Togo",56
"Israel",273
"Sierra Leone",402
"Hong Kong",733
"Libya",1770
"Nicaragua",910
"Bulgaria",354
"El Salvador",307
"Republic of the Congo",169
"Denmark",7314
"Singapore",193
"Lebanon",225
"Finland",1250
"Liberia",579
"Norway",83281
"Palestine",40
"Oman",2092
"Ireland",1448
"New Zealand",15134
"Mauritania",754
"Costa Rica",1290
"Kuwait",499
"Panama",2490
"Croatia",5835
"Georgia",310
"Eritrea",2234
"Uruguay",660
"Puerto Rico",501
"Bosnia and Herzegovina",20
"Qatar",563
"Namibia",1572
"Lithuania",90
"Jamaica",1022
"Albania",362
"Gambia",80
"Gabon",885
"Guinea-Bissau",350
"Slovenia",47
"Equatorial Guinea",296
"Latvia",498
"Bahrain",161
"Trinidad and Tobago",362
"Timor-Leste",706
"Estonia",3794
"Cyprus",648
"Mauritius",177
"Djibouti",314
"Fiji",1129
"Comoros",340
"Guyana",459
"Solomon Islands",5313
"Macau",41
"Montenegro",294
"Suriname",386
"Malta",253
"Maldives",644
"Cape Verde",965
"Brunei",161
"Belize",386
"Bahamas",3542
"Iceland",4970
"Vanuatu",2528
"New Caledonia",2254
"Barbados",97
"French Polynesia",2525
"Samoa",403
"Saint Lucia",158
"Guam",126
"Kiribati",1143
"Seychelles",491
"Grenada",121
"Micronesia",6112
"Aruba",69
"Tonga",419
"Jersey",70
"Saint Vincent and the Grenadines",84
"Antigua and Barbuda",153
"United States Virgin Islands",188
"Isle of Man",160
"Cayman Islands",160
"Dominica",148
"Bermuda",103
"Guernsey",50
"Greenland",44087
"Faroe Islands",1117
"Saint Kitts and Nevis",135
"American Samoa",116
"Turks and Caicos Islands",389
"Northern Mariana Islands",1482
"British Virgin Islands",80
"Gibraltar",12
"Monaco",4
"Marshall Islands",370
"Saint Martin",59
"Palau",1519
"Anguilla",61
"Cook Islands",120
"Nauru",30
"Wallis and Futuna",129
"Tuvalu",24
"Saint Pierre and Miquelon",120
"Montserrat",40
"Falkland Islands",1288
"Tokelau",101
"Niue",64